,Unnamed: 0,Comentario,Nome,Data,Comentario_Limpo,Sentimento
16399,16399,"We enjoyed this, but the audio voice overs were pretty bad at times. The acting wasn't so great on the part of the main character and villain but everyone else did great.",Lisa M,2024-03-04,enjoyed audio voice over pretty bad time acting wasnt great part main character villain everyone else great,positivo
17200,17200,Awesome all female cast,T P,2024-03-03,awesome female cast,positivo
17201,17201,See for yourself 🤷🏻,arsenio,2024-03-03,see 🤷🏻,neutro
17202,17202,A solid movie that introduces the main cast. The villian was very iffy but the girls did their jobs. Nice to see an origin story were they don't actually get their suits yet. Only reason I think it's getting killed in ratingbis the whole all- girl crew and some people don't like that,Sire M,2024-03-03,solid movie introduces main cast villain iffy girl job nice see origin story dont actually get suit yet reason think getting killed ratings whole girl crew people dont like,negativo
17203,17203,"I think they were confused that this is not 50 Leftovers, if it weren't for the fact that Dakota Johnson has dad and mom working there, she wouldn't get a job, the movie is horrible, time has no logic, it's an involuntary comedy with recycled scenes and a villain without dignity",Selina K,2024-03-03,think confused leftover weren fact dakota johnson dad mom working wouldnt get job movie horrible time logic involuntary comedy recycled scene villain without dignity,negativo
17204,17204,"Well, I like the story from the beginning, but it was turn down sour in the middle and not enough action. The four of the Spider-Man girls character could have put on costume instead of oh yeah, I'm not gonna put a costume during the fight scene.",Davis P,2024-03-03,well like story beginning turn sour middle enough action four sideman girl character could put costume instead oh yeah im gon na put costume fight scene,positivo
17205,17205,Liked it - not what I thought,Teri Ortiz,2024-03-03,liked thought,positivo
17206,17206,"The villains casting was terrible, his voice didnt set right with me.",Duncan,2024-03-03,villain casting terrible voice didnt set right,negativo
17207,17207,The villain is defeated by literal product placement,Scuba S,2024-03-03,villain defeated literal product placement,negativo
17208,17208,"The plot was awfully constructed, made no sense and there was less action than a soap commercial. It was rushed, sloppily constructed and the character could do whatever they wanted. The villain only used their assets when it helps the plot and even then this film is so boring. You don't care about the characters and you don't care about the plot. 
Sony you need to stop hiring terrible writers and making terrible films.",Alfred S,2024-03-03,plot awfully constructed made sense le action soap commercial rushed sloppy constructed character could whatever wanted villain used asset help plot even film boring dont care character dont care plot sony need stop hiring terrible writer making terrible film,negativo
17209,17209,Fascinating Dakota. Beauty and the Beauty,Nawab T,2024-03-03,fascinating dakota beauty beauty,positivo
17210,17210,"I have never witnessed multiple groups of people leave a movie well before it was over. My group laughed all the way through, still, Madame Web may be the worst movie I've even seen in theatre.",Steve D,2024-03-03,never witnessed multiple group people leave movie well group laughed way still madame web may worst movie ive even seen theatre,negativo
17211,17211,I personally injoyed this movie it's look so much better in person then in YouTube shorts it TIK tok,Ethan M,2024-03-03,personally enjoyed movie look much better person youtube short tik tok,positivo
17212,17212,2 hours of my life gone,A C,2024-03-03,hour life gone,neutro
17213,17213,Movie was very good.,Lisa,2024-03-03,movie good,positivo
17214,17214,Worst movie I ever watched,Melanga D,2024-03-03,worst movie ever watched,negativo
17215,17215,"o filme é totalmente diferente do que os criticos falam ou a audiencia. Provavelmente assistiram o filme com a tela do cinema desligado, se prestar atenção no filme tem uma interligação direta com o universo aranha",LEONARDO G,2024-03-03,movie totally different criticism speak audienceprobably watched movie movie screen paying attention movie direct interconnection spider universe,negativo
17216,17216,It was ok. I'd recommend watching it on streaming services than in a theater.,Jedi k,2024-03-03,ok id recommend watching streaming service theater,positivo
17217,17217,Was interesting cant wait for part 2,Jay,2024-03-03,interesting cant wait part,positivo
17218,17218,Went to see this because seeing for Dune was packed. This wasnt too bad. Its not a movie I would watch a second time.,Aaron W,2024-03-03,went see seeing dune packed wasnt bad movie would watch second time,positivo
17219,17219,"I loved the movie gave it 4 stars cause I wanted more action, but great into story for the 3 young lady characters",,2024-03-02,loved movie gave star cause wanted action great story young lady character,positivo
18040,18040,"Really enjoyed it! Love an origin movie and fun being set in the early 00's with the music and fashion, pre social media!! I think it set up the characters pretty well and I like that they kept the dakota johnson awkwardness but with know it all attitude and had some good funny parts… can't be marvel now without that marvel humour!",Lucy B,2024-03-02,really enjoyed love origin movie fun set early music fashion pre social medium think set character pretty well like kept dakota johnson awkwardness know attitude good funny parts… cant marvel without marvel humour,positivo
18041,18041,This movie has gotten a bad rap.  It was entertaining and kept your interest to see how it ends.  Isn't that what movies are supposed to do.  You didn't have to see all the marvel movies before it to understand parts of the movie.  It could stand alone by itself.  Could have done without all the horror movie previews shown before it.,Jennifer,2024-03-02,movie gotten bad rap entertaining kept interest see end isnt movie supposed didnt see marvel movie understand part movie could stand alone could done without horror movie preview shown,positivo
18042,18042,fantastic movie ! I love,ieto L,2024-03-02,fantastic movie love,positivo
18043,18043,It was alright.  I've seen it and that's enough.,rhonda c,2024-03-02,alright ive seen thats enough,positivo
18044,18044,"Had good potential but was uneven and confusing.  For example, it kept showing the 3 teens as superheroes with spider-like powers in flash-forward scenes, but at not time does it even attempt to explain where they would get the powers.  And the ending where Cassandra falls into the river and nearly drowns does not explain why she lost her eyesight or ended up in a wheelchair.  Other things that bothered me included the 3 teens in the woods with a campfire that they just abandoned without extinguishing to go to the diner (Smokey would be sad...).  Then there's the dancing on the table at the diner...would doubt that would be allowed by the staff.   The scene at the fireworks warehouse at the start was ludicrous...they would not allow anyone to be that close to it.   And the scenes where they return to the diner all there is to keep people out after it's destroyed is a piece of yellow tape.   Same goes for when they return to the warehouse.  NO guard, anyone can just walk in and mess with all the explosives. And just tossing flares into boxes of fireworks? OMG....so ridiculous.  That entire place would have exploded like a small nuke.  The other major thing that ruins it is that Cassandra is wanted by the cops for attempted kidnapping and attacking cops, yet can drive around NYC in a stolen cab with no plates.  AND then can hop on a plane, fly to South America, and find the same spot where her mother died.  How did she get a passport? How did she get past TSA and on a plane if wanted by the cops?  The movie was so full of things like this that it made it almost unwatchable.",Sean S,2024-03-02,good potential uneven confusing example kept showing teen superheroes spiderlike power flashforward scene time even attempt explain would get power ending cassandra fall river nearly drowns explain lost eyesight ended wheelchair thing bothered included teen wood vampire abandoned without extinguishing go diner smoke would sad there dancing table dinerwould doubt would allowed staff scene fireworks warehouse start ludicrousthey would allow anyone close scene return diner keep people destroyed piece yellow tape go return warehouse guard anyone walk mess explosive tossing flare box fireworks mso ridiculous entire place would exploded like small nuke major thing ruin cassandra wanted cop attempted kidnapping attacking cop yet drive around nyc stolen cab plate hop plane fly south america find spot mother died get passport get past tsa plane wanted cop movie full thing like made almost unwatchable,negativo
18045,18045,"It is obvious that DJ made no effort to show any love for this movie or character. Her promo interviews were terrible. She put as much effort in the character. Nor did the writers, editors or anyone. This movie is not even worthy of its so bad it’s good status. Honestly movie execs are just wanting to piss off fans and give them anything and everything but source material content. As now I am done with comic book movies other than Deadpool 3. Hopefully it’s loaded w source material and fan justice that these idiots in the biz will wake the f up and give us a good comic book movie done right. Utter trash. The 2 minutes of action was in the preview and it was not even real. The Razzies are going to have a field day.",,2024-03-02,obvious dj made effort show love movie character promo interview terrible put much effort character writer editor anyone movie even worthy bad ’ good status honestly movie exec wanting piss fan give anything everything source material content done comic book movie deadpool hopefully ’ loaded w source material fan justice idiot biz wake f give u good comic book movie done right utter trash minute action preview even real rallies going field day,positivo
18046,18046,Its just a pepsi ad no fun in this,Jaylen S,2024-03-02,pepsi ad fun,positivo
18047,18047,Занадто багато екшену.,Ð¨Ð°Ð±Ð°ÑÑÐº Ð,2024-03-02,bagato ekshenu,neutro
18048,18048,"Madame Web: Entangled in a Mess
This movie had me more tangled up in confusion than a spider web in a hurricane. The story was all over the place, the characters felt flat, and the dialogue was about as smooth as sandpaper. Even though the visuals were kinda cool at times, it wasn't enough to save the movie from feeling like a big ol' letdown. Skip this one and stick to reruns of your favorite Spider-Man flick instead.",Jerin M,2024-03-02,madame web entangled mess movie tangled confusion spider web hurricane story place character felt flat dialogue smooth sandpiper even though visuals kinda cool time wasnt enough save movie feeling like big ol meltdown skip one stick rerun favorite sideman flick instead,positivo
18049,18049,"I can't say it's a failure, but it's not the level of Marvel.",VAL,2024-03-02,cant say failure level marvel,positivo
18050,18050,"dialogue is horrible, but this movie had so much potential, no clue how it was written and edited so poorly. what a shame",Latenightlex,2024-03-02,dialogue horrible movie much potential clue written edited poorly shame,negativo
18051,18051,"This movie was so enjoyable and rich and fun. The performances were spot-on for this pretty original brand of superhero movie where the real power came from intelligence, strategy and learning calm amid chaos. I hope the totally undue (and in my strong estimation, misogynist) shade people have been throwing this movie gets ignored and that we get a sequel: I want the next chapter. I want to know how the tale of the three girls unfolds. I want more of Cassie’s journey to discover more of the strength and courage her mother left to her that she’s only just begun to learn. Dumb people love a bandwagon— don’t be one of those idiots piling on. This movie is honestly head and shoulders above any of the Marvel movies in recent memory. And definitely a great time at the theater.",David O,2024-03-02,movie enjoyable rich fun performance spoon pretty original brand superhero movie real power came intelligence strategy learning calm amid chaos hope totally undue strong estimation misogynist shade people throwing movie get ignored get sequel want next chapter want know tale three girl unfolds want case ’ journey discover strength courage mother left ’ begun learn dumb people love bandwagon— ’ one idiot piling movie honestly head shoulder marvel movie recent memory definitely great time theater,positivo
18052,18052,"my favorite part is how Ezekiel says a whole sentence and his lips don't move at all. This wasn't even so bad its good it was so bad i want my money back how did they make this move so horrendous. The dialogue is horrible, Cassandra is wanted by the nypd for kidnapping the whole movie and yet still drives the taxi she stole and crashed, and decides to steal an ambulance too. Ezekiel was absolutely horrible, the dubbed audio over him never matched up the entire movie and it was so horrble. My favorite best worst quote ""My spider....they took my spider!!!""",Audrey B,2024-03-02,favorite part ezekiel say whole sentence lip dont move wasnt even bad good bad want money back make move horrendous dialogue horrible cassandra wanted nypd kidnapping whole movie yet still drive taxi stole crashed decides steal ambulance ezekiel absolutely horrible dubbed audio never matched entire movie horrible favorite best worst quote spiderthey took spider,negativo
18053,18053,The chaotic film rhythm and predictable plot make it difficult to become a good movie.,ä¿é é,2024-03-02,chaotic film rhythm predictable plot make difficult become good movie,negativo
18054,18054,It is a very interesting movie dont go in thinking it is going to be like spiderman and if you do that you should enjoy it. Dakota johnson is good at acting but some parts were off. Good movie though,Christian J,2024-03-02,interesting movie dont go thinking going like sideman enjoy dakota johnson good acting part good movie though,positivo
18055,18055,"I enjoyed the movie a lot and loved the concept. The only issues I have with the movie is that it felt like it didn't have a proper conclusion. I also wanted to see the girls actually use their powers; although, it makes me hope for a part 2. This movie really loves crashing through buildings with a car.",Alex G,2024-03-02,enjoyed movie lot loved concept issue movie felt like didnt proper conclusion also wanted see girl actually use power although make hope part movie really love crashing building car,positivo
18056,18056,Very good action movie!,Ali,2024-03-02,good action movie,positivo
18057,18057,Had a lot of great ideas but the writing and acting was cringe the entire movie.,Christopher M,2024-03-02,lot great idea writing acting fringe entire movie,positivo
18058,18058,It was an origin movie  that exploded the Mythology of Madam Webb  it was great.,Cole Nordenstrom,2024-03-02,origin movie exploded mythology madam webb great,positivo
18059,18059,While there were a couple of unnecessary scenes for the origin story and a couple of plot holes (paramedics not delivering a baby?) overall a good movie.,Sarah P,2024-03-02,couple unnecessary scene origin story couple plot hole paramedic delivering baby overall good movie,positivo
18900,18900,"Legitimately the worst movie I've ever seen. I went in thinking it would be bad but funny, but it was just so so bad. I love watching bad movies but couldn't stand this one. Every single character was excruciating to watch. The end was especially bad. Comparisons to The Room are completely accurate.",Ale C,2024-03-02,legitimately worst movie ive ever seen went thinking would bad funny bad love watching bad movie couldnt stand one every single character excruciating watch end especially bad comparison room completely accurate,negativo
18901,18901,I have not even seen this movie but you could already tell from the first trailer it was the worst superhero movie ever,,2024-03-02,even seen movie could already tell first trailer worst superhero movie ever,negativo
18902,18902,"I took a chance, thinking it couldn't be as bad as the reviews. It was. Horrible acting and a snoozefest.  I gave it a half star for the little twist at the end.",Mike P,2024-03-02,took chance thinking couldnt bad review horrible acting snoozefest gave half star little twist end,positivo
18903,18903,"The movie is a piece of shi....
Fine,never mind.",å¾·å® æ,2024-03-02,movie piece shi finenever mind,neutro
18904,18904,"Starts off slow but movie picks up. There are parts that are far fetched but it’s a Marvels movie. Not sure they should’ve cast Dakota super hero I did not quite believe it. She’s so dainty. Then really no powers to take on a powerful spider yet dainty Dakota does. However, it does set up for a nice sequel at the end when it is explained. Glad I stayed through it.",805surfgirl,2024-03-02,start slow movie pick part far fetched ’ marvel movie sure ’ cast dakota super hero quite believe ’ daily really power take powerful spider yet daily dakota however set nice sequel end explained glad stayed,positivo
18905,18905,I liked it. Im a mom though so some of the lines from Dakota in the beginning I find myself saying daily. Kind of had some final destination vibes.,Kelsey,2024-03-02,liked im mom though line dakota beginning find saying daily kind final destination vibe,positivo
18906,18906,"If I could do no stars, I would.",Shan,2024-03-02,could star would,neutro
18907,18907,Don't listen to the negative reviews. Go see this movie your going to be confused at first at what's going on it gets explained shortly in the film after the train scene the rest of the movie picks up and filled with action and a decent story line. Is this movie a big budget draw dropping marvel action film? No... but I can see the potential.  I respect the originality in this script and the teen girls in the movie weren't trying to do the most and it was refreshing to see Mike epps. He wasn't forced to be a comedian and make corny jokes. Overall this movie is solid enough to watch and recommend.,Dj H,2024-03-02,dont listen negative review go see movie going confused first whats going get explained shortly film train scene rest movie pick filled action decent story line movie big budget draw dropping marvel action film see potential respect originality script teen girl movie weren trying refreshing see mike apps wasnt forced comedian make corn joke overall movie solid enough watch recommend,positivo
18908,18908,"A Spider-Manless Spider-Man film green lit by misguided Sony executives as part of a weird, disjointed Spider-Man cinematic universe with a lack of Spider-Man. With the quality of a Disney Channel superhero original.",RED B,2024-03-02,spidermanless sideman film green lit misguided sony executive part weird disjointed sideman cinematic universe lack sideman quality disney channel superhero original,negativo
18909,18909,"MW was a Good movie. it was 4 of 5 film, entertaining, enough excitement and some superhero / magic,  Much better than the movie critic's ratings. It's not going to win an Oscar but, ... worth seeing!",James Y,2024-03-01,mw good movie film entertaining enough excitement superhero magic much better movie critic rating going win oscar worth seeing,positivo
18910,18910,"he visto cosas peores, pero pareció mas un comercial muy largo de Pepsi escrito por chat.gpt",Victor hugo R,2024-03-01,seen worse thing seemed long commercial pepsi written chatgpt,negativo
18911,18911,Fell asleep during it.,,2024-03-01,fell asleep,neutro
18912,18912,"A film that sets a new low for superhero movies, and even movies in general honestly. There is no entertainment value here; just awful humour, terrible characters, just bad EVERYTHING.",Jai A,2024-03-01,film set new low superhero movie even movie general honestly entertainment value awful humour terrible character bad everything,negativo
18913,18913,"The timeline was all off, Zeke wasn't portrayed anything like how he is in the comics... 'the man who climbed the ceilings' come on now, he's stronger than Spiderman and sacrificed himself... not cool at all! Madame Web was not 80 and had absolutely no emotion. Literally a bunch of teenagers getting into trouble because they don't listen and a few psychic moments (the Chinese though... doh). Do not bother. Why these stand alones keep happening is beyond me. Write it into the actual Spiderman films and it may make sense. Dakota Johnson is not Superhero material. Absolutely pants, watching a Pepsi sign cause so much trouble for 15 minutes was not how I thought I would be spending my night. I'm still trying to work the whole thing out now, 3 days later. It's a no from me!",Becky G,2024-03-01,timeline zee wasnt portrayed anything like comic man climbed ceiling come he stronger sideman sacrificed cool madame web absolutely emotion literally bunch teenager getting trouble dont listen psychic moment chinese though doh bother stand alone keep happening beyond write actual sideman film may make sense dakota johnson superhero material absolutely part watching pepsi sign cause much trouble minute thought would spending night im still trying work whole thing day later,negativo
18914,18914,Marvel and Disney has lost there way. The plot was dull and boring. Is Ezekiel having a dream about his death and going after the girls the best they can come up with. Did they even do any screens for this movie?  Wait for Disney+ and play it in the background while you are cleaning,Joseph S,2024-03-01,marvel disney lost way plot dull boring ezekiel dream death going girl best come even screen movie wait disney play background cleaning,positivo
18915,18915,"I thoroughly enjoyed this movie.  It kept my interest the entire time.  I can’t  wait for the sequel,  I felt like the cast did an amazing job. I love Dakota Johnson and I watch all of her movies!!",Deborah S,2024-03-01,thoroughly enjoyed movie kept interest entire time ’ wait sequel felt like cast amazing job love dakota johnson watch movie,positivo
18916,18916,Creo fielmente que el público rebajó tanto la película que me termino gustando y interesando más que otras películas de acción. Es lo que pasa cuando no eres pretencioso con tu producto y das lo que prometes si le puse dos estrellas a Dune es porque está hace algo bien una buena introducción para estar enganchado y terminas sin el sentimiento de fatiga.,Melanie V,2024-03-01,faithfully believe public reduced film end liking interesting action movies happens pretentious product give promise put two star dune good introduction something well hooked end without feeling fatigue,positivo
18917,18917,"Much like Madam Web, I foresaw this movie's future when Sony announced it. Luckily, the poor screenwriting and subpar special effects won't distract you from Dakota Johnson's obvious disapproval of starring in this failed franchise attempt.",Landon  F,2024-03-01,much like madam web forest movie future sony announced lucky poor screenwriting super special effect wont distract dakota johnson obvious disapproval starring failed franchise attempt,positivo
18918,18918,"In my opinion the cinematography of the film was appalling, the film was boring and the villain was weak, he could have won a thousand times and failed for a bad conclusion",××¨×× ×,2024-03-01,opinion cinematography film appalling film boring villain weak could thousand time failed bad conclusion,negativo
18919,18919,"tudo ahaver com os quadrinhos, ela é uma cega que da conselhos ao homem aranha,
nao faz parte da açao, e o filme tem toda logica 
muito bom",acacio r,2024-03-01,everything comic blind give advice sideman part action movie logic good,positivo
19780,19780,It was a good movie. A movie not connected to the same universe as Spiderman nor Venom or Morbius nor Kraven.,ALAN M,2024-03-01,good movie movie connected universe sideman venom orbits raven,positivo
19781,19781,"Madame Webb Initial Reaction  

Score: 40% ❌🍅

1. This film is hilarously terrible

2. Sydney Sweeney could not save it 

3. It's a shame this had to exist

Full Review: https://open.substack.com/pub/mightyfinefilmreviews/p/sony-we-need-to-talk-madame-web-movie?r=241f2v&utm_campaign=post&utm_medium=web&showWelcomeOnShare=true",Seth H,2024-03-01,madame webb initial reaction score ❌🍅 film hilarously terrible sydney sweeney could save shame exist full review httpsopensubstackcompubmightyfinefilmreviewspsonyweneedtotalkmadamewebmovierfvutmcampaignpostutmmediumwebshowwelcomeonsharetrue,negativo
19782,19782,"Great Great Great Movie, I want another one. Stop listening to these judgy people that don't ever like anything good.",El Borii,2024-03-01,great great great movie want another one stop listening judge people dont ever like anything good,positivo
19783,19783,"Amazing Movie, ya'll need to stop hating. Every time a movie that involves females with powers or as a super hero ya'll give it low rating. Stop hating and appreciate a movie. like what harm is it doing to you, ya'll ain't the ones paying to make the movie, and for the first movie, it was actually really good, good action, good graphics. Even Marvel themselves have made some very bad movies. I give this movie 5 stars being honest.",David,2024-03-01,amazing movie all need stop hating every time movie involves female power super hero all give low rating stop hating appreciate movie like harm all aint one paying make movie first movie actually really good good action good graphic even marvel made bad movie give movie star honest,positivo
19784,19784,Movie was freaking amazing idky people are being haters giving it low ratings. My family and I loved it.,Eric G,2024-03-01,movie breaking amazing id people later giving low rating family loved,positivo
19785,19785,"It's time to stop, Disney. It's time to stop.",Yevada N,2024-03-01,time stop disney time stop,negativo
19786,19786,"This was a bad movie.  I cannot decide which was worse this or Morbius.  Ultimately, I blame the writers and director for this throw away superhero movie.",Carlos C,2024-03-01,bad movie decide worse orbits ultimately blame writer director throw away superhero movie,negativo
19787,19787,This movie is absolutely epic! I hope they make a second one. My friend and i are seeing it again tomorrow! Excellent job,issy n,2024-03-01,movie absolutely epic hope make second one friend seeing tomorrow excellent job,positivo
19788,19788,"I wasnt a fan of this movie, terrible awful movie",greg t,2024-02-29,wasnt fan movie terrible awful movie,negativo
19789,19789,So bad it's good but even that becomes strenuous. The lack of effort put into the filmmaking is unbelievable. To say the acting is phoned-in is generous. No one involved with any aspect of this disaster seemed to remotely care.,Griffith J,2024-02-29,bad good even becomes strenuous lack effort put filmmaking unbelievable say acting phonetic generous one involved aspect disaster seemed remotely care,positivo
19790,19790,6/10 so bad it's fun,Colton P,2024-02-29,bad fun,negativo
19791,19791,Should have showed the action first instead of the origin that would ruined the movie,Perry M,2024-02-29,showed action first instead origin would ruined movie,negativo
19792,19792,"The ""meh, it passed the time"" prompt from Rotten Tomatoes is pretty accurate in this case. I actually found myself enjoying the movie outside of the awful Ezekiel Sims ADR debacle. Yes, it is not great and there were some questionable choices made, like WHY Dakota Johnson and WHY so much choke slamming (amongst other things), but I do not think it's too far off movies like The Flash, Shazam 2, or Quantumania, to name some contemporaries that have been notably bad. I am not sure why Sony keeps putting all this money and effort into trying to create a Spiderman universe without putting some brains behind it too. 
There is a lot wrong with this movie but I did find it mildly entertaining so that must count for something.",Hannah O,2024-02-29,meh passed time prompt rotten tomato pretty accurate case actually found enjoying movie outside awful ezekiel sims adr debacle yes great questionable choice made like dakota johnson much choke spamming amongst thing think far movie like flash sharma quantumania name contemporary notably bad sure sony keep putting money effort trying create sideman universe without putting brain behind lot wrong movie find mildly entertaining must count something,positivo
19793,19793,It was not that bad😭,Ariadni  H,2024-02-29,bad😭,negativo
19794,19794,"Despite the hate from everyone, i think this movie is ok for me, decent script",Khoa H,2024-02-29,despite hate everyone think movie ok decent script,positivo
19795,19795,"Madame Web is awful, laughable, and tiresome. I think it's the worst comic book movie I've seen this year.",Victor P,2024-02-29,madame web awful laughable tiresome think worst comic book movie ive seen year,negativo
19796,19796,The movie didn't make any sense and it a waste of time,olatope s,2024-02-29,movie didnt make sense waste time,positivo
19797,19797,"No stars would be a great option. 
Just like getting your money back after a terrible movie would be great , or realizing that someone wrote a terrible script and maybe you should read it before greenlighting something just for the sake of making a movie with popular actors. 
The only saving grace is they never said spidermans name , the universe doesn't feel quite so tainted.",Gabriel G,2024-02-29,star would great option like getting money back terrible movie would great realizing someone wrote terrible script maybe read greenlighting something sake making movie popular actor saving grace never said spidermans name universe doesnt feel quite tainted,positivo
19798,19798,ham........... its good for time pass,Waqar B,2024-02-29,ham good time pas,positivo
19799,19799,"Although it ends more with a thud than a bang, I enjoyed the movie's novel departure from typical super-character/Marvel flicks. Dakota's laid-back style is perfect (she did NOT ""call it in""); and the rest of the cast did fine. The story line was interesting and easy to follow, and moves spiritedly along. Far better than the average critics' rating suggests.",David A,2024-02-29,although end thus bang enjoyed movie novel departure typical supercharactermarvel flick dakota hardback style perfect call rest cast fine story line interesting easy follow move spirited along far better average critic rating suggests,positivo
20680,20680,"After hearing not so good things, I didn't know what to expect. Honestly, I loved it. I think if you payed attention the whole movie you got the whole story. The person I went to see it with, didn't understand the story. I felt like it was described perfectly and I am excited to watch it again!",Hannah K,2024-02-29,hearing good thing didnt know expect honestly loved think played attention whole movie got whole story person went see didnt understand story felt like described perfectly excited watch,positivo
20681,20681,Don't believe the bad reviews.  This movie has a great storyline.,Dean G,2024-02-29,dont believe bad review movie great storyline,positivo
20682,20682,It was pretty bad and not very well made,Mark P,2024-02-29,pretty bad well made,positivo
20683,20683,I really wanted to like it but the dialogue was absolutely terrible. I liked the story and I think if they tried they could've made a very cool movie.,Molly C,2024-02-29,really wanted like dialogue absolutely terrible liked story think tried could made cool movie,positivo
20684,20684,"This was extremely disappointing for many reasons, especially the fact that we haven't had a spider-man based movie in so long and we got a not even half-baked ""film"" with annoying characters and a plot that's falling apart throughout the movie.",Brody S,2024-02-29,extremely disappointing many reason especially fact havent sideman based movie long got even halfbaked film annoying character plot thats falling apart throughout movie,negativo
20685,20685,I only wish i could have those 2 hours of my life back,Eduardo B,2024-02-28,wish could hour life back,positivo
20686,20686,"❌26%

I agree.

Yeah, it's bad. Like, really bad. I'm not even sure what to call it. A fan-made movie?  A bad idea? Poorly executed? I'm not even sure if I can call it a train wreck, because a train wreck at least has something that draws people to it. This has nothing. It's disastrous execution, with a terrible script and bad dialogue. The performances aren't all that great, but the villain stands out as 1. one of the worst villain performances in the past few years, and 2. one of the worst villains in comic book movie history. Chukwuji Iwuji eats this guy alive. Dakota Johnson is fine and my guy Adam Scott is always fun!

This film doesn't seem like it exists. I don't know how to explain. It seems like a Frankenstein experiment from the 2000s' that was put in a drawer, went rotten, and has now been revealed to the world. There are some plot points that eat 15-20 minutes of the film that serve no actual purpose. And finally, the visual choices here are baffling. The costumes are laughable, the CGI is… not good, and the editing! What was that!? The cuts, weird and unnecessary camera turns, everything was wrong. The last 10 minutes are special… just special…

Great way to start the year.

Long live Madam Mommy.

It's worst that Morbius.",Leo G,2024-02-28,❌ agree yeah bad like really bad im even sure call facade movie bad idea poorly executed im even sure call train wreck train wreck least something draw people nothing disastrous execution terrible script bad dialogue performance arent great villain stand one worst villain performance past year one worst villain comic book movie history chukwuji iwi eats guy alive dakota johnson fine guy adam scott always fun film doesnt seem like exists dont know explain seems like frankenstein experiment put drawer went rotten revealed world plot point eat minute film serve actual purpose finally visual choice battling costume laughable cgi is… good editing cut weird unnecessary camera turn everything wrong last minute special… special… great way start year long live madam tommy worst orbits,negativo
20687,20687,"Possibly one of the worst films I’ve ever seen. Dakota was the only good part about the movie. But it did her a disservice. I don’t think I’ve ever rated a movie as low as this. Normally, I like to spend some time talking about the movie. This one it’s just not worth it.",no thank you,2024-02-28,possibly one worst film ’ ever seen dakota good part movie disservice ’ think ’ ever rated movie low normally like spend time talking movie one ’ worth,neutro
20688,20688,NOTHING NEWWWWW  BOOOOORING,isi,2024-02-28,nothing newwwww boooooring,neutro
